pop nA A nB B nC C nD D nE E nF F nTOTAL TOTAL
L_atlanticus_BBIP_2_S1 l_atlanticus 33 24434493 14 18590939 6 13424888 0 0 2 9053771 0 0 55 65504091
L_atlanticus_BBIP_3_S2 l_atlanticus 37 25813513 22 28550016 5 11749561 1 3702494 0 0 2 12321734 67 82137318
L_atlanticus_BBIP_4_S3 l_atlanticus 37 26088489 15 21515219 4 10039962 2 6878908 0 0 2 12728880 60 77251458
L_atlanticus_BBIP_5_S4 l_atlanticus 40 28828260 11 13694038 4 10261791 1 3384819 3 12365712 1 12125318 60 80659938
L_atlanticus_BBIP_6_S5 l_atlanticus 37 27265931 12 15620528 3 6842659 0 0 2 8405445 0 0 54 58134563
L_atlanticus_SBJO_38_S6 l_atlanticus 36 24780146 10 13274524 4 10207762 1 3613472 1 4138046 0 0 52 56013950
L_atlanticus_SBJO_39_S7 l_atlanticus 38 26089592 15 20684898 6 15106003 3 10319427 0 0 0 0 62 72199920
L_atlanticus_SBJO_40_S8 l_atlanticus 38 27121211 15 21270200 2 4678135 3 9408598 0 0 2 11248432 60 73726576
L_atlanticus_SBJO_41_S9 l_atlanticus 38 26050970 15 19485222 3 7695284 2 6975843 2 8368055 0 0 60 68575374
L_atlanticus_SBJO_42_S10 l_atlanticus 36 24786397 14 19792435 3 7941509 1 3990448 1 4329821 2 11049396 57 71890006
L_atlanticus_SJVE_56_S11 l_atlanticus 144 99334370 71 96567252 32 77628647 9 31231931 9 39120358 6 49943860 271 393826418
L_atlanticus_SJVE_57_S12 l_atlanticus 150 105088434 67 89160727 28 69488993 6 21266088 8 34142618 7 64576737 266 383723597
L_atlanticus_SJVE_58_S13 l_atlanticus 164 113843300 73 99196253 16 38806462 10 36029710 5 22155482 13 101957350 281 411988557
L_atlanticus_SJVE_59_S14 l_atlanticus 160 110152402 92 128446898 32 79701077 5 16911453 6 26149975 2 16059752 297 377421557
L_atlanticus_SJVE_60_S15 l_atlanticus 133 90611268 87 114197130 29 73112665 7 24211947 5 22760013 11 95391060 272 420284083
